density,temperature,carrier_fraction,relative_drift,pressure,energy_density,enthalpy_per_particle,mobility_00,mobility_01,mobility_11,drift_energy
0.06,0.08,0.025,0.0,0.004799999999999873,0.06786517624103393,1.2110862706838967,0.017749499468259055,0.014828598076945868,0.05612595642877539,0.0
0.06,0.08,0.025,0.0016,0.004799999999999873,0.06786517624103393,1.2110862706838967,0.017749499468259055,0.014828598076945868,0.05612595642877539,0.00028107878979530715
0.06,0.08,0.025,0.0032,0.004799999999999873,0.06786517624103393,1.2110862706838967,0.017749499468259055,0.014828598076945868,0.05612595642877539,0.001129703250998391
0.06,0.08,0.025,0.0048000000000000004,0.004799999999999873,0.06786517624103393,1.2110862706838967,0.017749499468259055,0.014828598076945868,0.05612595642877539,0.0025620376590607397
0.06,0.08,0.025,0.0064,0.004799999999999873,0.06786517624103393,1.2110862706838967,0.017749499468259055,0.014828598076945868,0.05612595642877539,0.004605022473068164
0.06,0.08,0.025,0.008,0.004799999999999873,0.06786517624103393,1.2110862706838967,0.017749499468259055,0.014828598076945868,0.05612595642877539,0.0072963743357408
0.06,0.08,0.025,0.009600000000000001,0.004799999999999873,0.06786517624103393,1.2110862706838967,0.017749499468259055,0.014828598076945868,0.05612595642877539,0.010684586073433117
0.06,0.08,0.025,0.0112,0.004799999999999873,0.06786517624103393,1.2110862706838967,0.017749499468259055,0.014828598076945868,0.05612595642877539,0.014828926696133886
0.06,0.08,0.025,0.0128,0.004799999999999873,0.06786517624103393,1.2110862706838967,0.017749499468259055,0.014828598076945868,0.05612595642877539,0.019799441397466238
0.06,0.08,0.025,0.014400000000000001,0.004799999999999873,0.06786517624103393,1.2110862706838967,0.017749499468259055,0.014828598076945868,0.05612595642877539,0.025676951554687598
0.06,0.08,0.025,0.016,0.004799999999999873,0.06786517624103393,1.2110862706838967,0.017749499468259055,0.014828598076945868,0.05612595642877539,0.032553054728689725
0.06,0.08,0.04666666666666667,0.0,0.004799999999999873,0.06786517624103393,1.2110862706838967,0.01793941180824866,0.014987257974065455,0.05672648106546188,0.0
0.06,0.08,0.04666666666666667,0.0016,0.004799999999999873,0.06786517624103393,1.2110862706838967,0.01793941180824866,0.014987257974065455,0.05672648106546188,0.00028408621717583316
