trajectory_id,step,density,temperature,carrier_fraction,relative_drift,latent_threshold,phase_label,transport_response,response_noise_std
0,0,0.18,0.710978651837493,0.027313277604928656,0.005598947132165655,0.006287608144973887,0,0.022558880877599267,0.0005521198533039474
0,1,0.18,0.728790422709433,0.027313277604928656,0.006973853798896126,0.006296266644703303,1,0.03695529663088802,0.0009469702939597263
0,2,0.18,0.7389742198182494,0.027313277604928656,0.00828254327356292,0.0063012171016311996,1,0.04703805793528863,0.00111422233441676
0,3,0.18,0.7557816461325235,0.027313277604928656,0.009245127942223978,0.00630938737831175,1,0.04991389795213093,0.0012249400657697153
0,4,0.18,0.7660864957833754,0.027313277604928656,0.010522113835938712,0.006314396680225358,1,0.05612846368193195,0.001381359090358705
0,5,0.18,0.7833861594654412,0.027313277604928656,0.011656048868403284,0.006322806238959695,1,0.05577206565156609,0.0015070541182168442
0,6,0.17875849643162606,0.7888649160472802,0.027313277604928656,0.012675204430391227,0.006327538696023157,1,0.06536678659488342,0.0016197582591771329
0,7,0.17831050806186305,0.8,0.027313277604928656,0.01365904404412816,0.006333698231338667,1,0.06814690649568252,0.0017243979120856103
0,8,0.17550594662965338,0.8,0.027313277604928656,0.014435490647950522,0.00633837250039235,1,0.0720878458614566,0.0017937570926645494
0,9,0.17624414596547036,0.8,0.027313277604928656,0.014994087663434559,0.0063371421681659885,1,0.07750709525114209,0.0018710051878382033
0,10,0.17457833565893038,0.8,0.027313277604928656,0.015648857977689692,0.006339918518676889,1,0.07874691857351013,0.0019342528408819817
0,11,0.17355478314969147,0.8,0.027313277604928656,0.015702073358437197,0.0063416244395256205,1,0.0806261372269407,0.001929451359686491
0,12,0.17195354494947318,0.8,0.027313277604928656,0.015640708796946276,0.0063442931698593176,1,0.0763849699359058,0.0019041791666566798
0,13,0.1701195070622728,0.8,0.027313277604928656,0.015272081132295522,0.006347349899671318,1,0.07029519621098125,0.001839469467836341
0,14,0.16819516207812316,0.8,0.027313277604928656,0.01511232350849516,0.006350557141311567,1,0.07130393740032678,0.0017996373047406507
0,15,0.16426648842692865,0.8,0.027313277604928656,0.015083591909633891,0.006357104930730225,1,0.07208148646338254,0.0017542601282031591
0,16,0.16448810191247756,0.8,0.027313277604928656,0.014648314163072938,0.006356735574920977,1,0.06904118112666321,0.0017059346103203848
0,17,0.16362733487883854,0.8,0.027313277604928656,0.013905959625104464,0.006358170186643708,1,0.0657961683472402,0.0016110056603294268
0,18,0.15945998655252652,0.7981010413137646,0.027313277604928656,0.01317942305935666,0.006364192662270642,1,0.06061855872361111,0.0014903890041439846
0,19,0.15751591407571328,0.7865628705329397,0.027313277604928656,0.011987141301472127,0.006361823950046874,1,0.05429027304145703,0.0013525078721452833
0,20,0.15529320369383354,0.761578040450735,0.027313277604928656,0.01066569757938269,0.0063533830638378246,1,0.04816384198570145,0.0012128785361968123
0,21,0.15737930718232426,0.7635399983030462,0.027313277604928656,0.010011757287307091,0.00635085995420188,1,0.046392159230595295,0.0011517904262030112
0,22,0.15403373556367286,0.7448289010037994,0.027313277604928656,0.009111064551681012,0.006347340234601388,1,0.04240297410414503,0.0010432953649510506
0,23,0.15197570859834408,0.721170657781921,0.027313277604928656,0.00744308351199117,0.006339269744644078,1,0.03393286168736985,0.0008593676827408305
0,24,0.1498549144468189,0.7164054766235445,0.027313277604928656,0.006596405427659904,0.006340487994055742,0,0.02267361948403018,0.0005388008023817335
0,25,0.14934421715528023,0.6923789532917312,0.027313277604928656,0.005408961081499885,0.006329659596255342,0,0.018172098523978983,0.0004504068071837178
0,26,0.14781593424240008,0.6762487798425932,0.027313277604928656,0.004298240028256389,0.0063243656779057005,0,0.014308943557310239,0.0003598044613853017
0,27,0.14725535081760296,0.6480168189281315,0.027313277604928656,0.003413544509710646,0.006311576113724721,0,0.01178656121678943,0.0002927041093372653
0,28,0.14645319395450299,0.6428785372770749,0.027313277604928656,0.0021516537425386533,0.00631041526602729,0,0.007435387201084668,0.00018444420652963668
0,29,0.1458099634619561,0.6344489953674152,0.027313277604928656,0.0009828434040544513,0.006307389622864339,0,0.0032372726869788673,8.459998053184035e-05
0,30,0.14442755257205114,0.611684336576311,0.027313277604928656,0.0005899372418134612,0.006298627487435172,0,0.0021449444945179693,5.149154586530538e-05
0,31,0.1455753298184256,0.6084968967874859,0.027313277604928656,0.0004339792258754942,0.0062951650754605355,0,0.0015087177769142564,3.830746585489176e-05
0,32,0.1434951405290981,0.5973494880329236,0.027313277604928656,0.00039710266997882414,0.006293213178353725,0,0.0014044982483888914,3.495972513699809e-05
0,33,0.144725441086092,0.5912227977634772,0.027313277604928656,0.00019017895266304428,0.006288184425211087,0,0.000680906254621322,1.6996807944228283e-05
0,34,0.14244858422951898,0.5910914274598843,0.027313277604928656,0.0,0.006291915326074463,0,-1.7022115519418414e-07,2.5000000000000004e-07
0,35,0.14256308565823117,0.573581858627268,0.027313277604928656,0.00046243697338153205,0.006283212894399643,0,0.00163576720748376,4.1494421072755784e-05
0,36,0.145139877112245,0.571747133718135,0.027313277604928656,0.0013211875403126485,0.006278026361812125,0,0.004814418582031221,0.00012093485449926208
0,37,0.14156526280194864,0.5747628287091913,0.027313277604928656,0.0023937269523053644,0.006285450015172159,0,0.008497797559911308,0.0002130111210629555
0,38,0.14684078424754016,0.5905305213085537,0.027313277604928656,0.0024393387918253224,0.006284322329998641,0,0.008912024017889479,0.00022136050382433006
0,39,0.14405321321459216,0.5755530434989212,0.027313277604928656,0.0032572221037719664,0.006281687563340539,0,0.012496084076004686,0.00029469151165561694
0,40,0.14380363605762322,0.5958807796665397,0.027313277604928656,0.003537737622159979,0.0062919850636836356,0,0.012250523055424902,0.0003126083306512898
0,41,0.14669707240392338,0.6015392129767582,0.027313277604928656,0.004539171434350319,0.006289913297076714,0,0.016522579775756538,0.0004067251214836956
0,42,0.1490604578552859,0.6060630204607461,0.027313277604928656,0.005848696589952951,0.006288173394406937,0,0.020776657643593422,0.0005299762876318086
0,43,0.14955817276763222,0.6240725994466106,0.027313277604928656,0.007018583211177853,0.006296098526004488,1,0.03548357639719983,0.000876788446302897
0,44,0.14943325052686202,0.6492797019231237,0.027313277604928656,0.007344062628753052,0.006308560182331855,1,0.03533110714224805,0.000893541629186445
